transaction_id,transaction_item_id,request_type,request_method,suggestion_offered,suggestion_accepted,extracted_phrase,nlp_confidence,nlp_model_version,processing_timestamp,raw_nlp_output,extracted_entities,created_at
9,27,unbranded,indirect,False,False,night,0.73,gpt-4-turbo,2025-02-08 13:53:44,{'raw': 'Treatment effort drug baby if nice.'},{'entity': 'perhaps'},2025-03-04 04:12:20
11,31,unsure,verbal,True,True,company,0.81,gpt-4-turbo,2025-03-12 11:28:19,{'raw': 'Different set back save house resource.'},{'entity': 'hold'},2025-04-17 12:08:57
11,32,unbranded,indirect,False,False,free,0.65,gpt-4-turbo,2025-03-15 03:35:44,{'raw': 'Our understand offer serious natural.'},{'entity': 'claim'},2025-02-14 07:39:21
11,33,branded,pointing,True,True,mention,0.81,gpt-4-turbo,2025-01-31 16:27:05,{'raw': 'Bed miss price character these age song.'},{'entity': 'cost'},2025-05-29 10:08:38
13,38,unsure,verbal,True,True,collection,0.98,gpt-4-turbo,2025-05-27 04:07:25,{'raw': 'Market culture relationship if.'},{'entity': 'customer'},2025-02-04 04:33:29
13,39,unsure,pointing,False,False,low,0.81,gpt-4-turbo,2025-01-26 04:56:43,{'raw': 'Civil respond laugh next quite party.'},{'entity': 'still'},2025-04-10 22:26:20
14,41,branded,pointing,True,True,decide,0.63,gpt-4-turbo,2025-01-05 08:17:21,{'raw': 'Performance each fact after front choose.'},{'entity': 'memory'},2025-06-07 18:28:30
14,42,branded,pointing,True,False,not,0.92,gpt-4-turbo,2025-06-16 17:08:28,{'raw': 'Century candidate boy side.'},{'entity': 'skill'},2025-02-28 14:02:10
15,43,branded,verbal,False,True,morning,0.73,gpt-4-turbo,2025-04-02 14:17:58,{'raw': 'Production right authority number maintain back movement.'},{'entity': 'see'},2025-04-17 23:54:22
16,46,unbranded,pointing,False,False,material,0.98,gpt-4-turbo,2025-02-04 01:24:22,{'raw': 'Know else fire nearly shake talk law.'},{'entity': 'in'},2025-05-23 10:31:58
16,47,unbranded,pointing,False,False,green,0.72,gpt-4-turbo,2025-05-15 03:31:00,{'raw': 'Seem talk hotel authority should us.'},{'entity': 'carry'},2025-03-19 16:39:30
16,48,unbranded,indirect,False,True,collection,0.65,gpt-4-turbo,2025-03-19 08:06:26,{'raw': 'Last agent side present.'},{'entity': 'magazine'},2025-05-04 03:42:58
17,49,branded,pointing,True,True,drug,0.67,gpt-4-turbo,2025-03-08 22:39:59,{'raw': 'Seek themselves place model wall.'},{'entity': 'early'},2025-02-23 23:34:08
17,50,unbranded,verbal,False,False,hard,0.61,gpt-4-turbo,2025-04-13 17:32:33,{'raw': 'Beat day writer outside couple quite rise book.'},{'entity': 'various'},2025-05-24 08:23:25
17,51,unbranded,indirect,True,True,thank,0.95,gpt-4-turbo,2025-05-08 05:47:20,{'raw': 'Senior body wait wind.'},{'entity': 'third'},2025-06-19 21:54:01
18,52,branded,indirect,False,True,look,0.89,gpt-4-turbo,2025-03-24 20:50:00,{'raw': 'Must change arrive.'},{'entity': 'television'},2025-01-05 05:25:35
18,53,unbranded,pointing,False,True,window,0.8,gpt-4-turbo,2025-04-30 10:53:09,{'raw': 'Build century maintain party behavior.'},{'entity': 'political'},2025-01-09 17:23:01
19,55,unsure,verbal,False,True,task,0.74,gpt-4-turbo,2025-05-10 02:26:36,{'raw': 'Girl amount town last shake case.'},{'entity': 'drug'},2025-02-05 06:46:39
19,56,unbranded,pointing,True,False,his,0.8,gpt-4-turbo,2025-06-05 01:17:46,{'raw': 'Mr expert identify notice week image difficult.'},{'entity': 'skin'},2025-03-05 03:57:51
19,57,unsure,pointing,True,True,painting,0.74,gpt-4-turbo,2025-02-04 09:06:55,{'raw': 'Whom wonder manage religious great low wait.'},{'entity': 'such'},2025-01-07 09:15:47
20,58,unbranded,pointing,False,True,subject,0.85,gpt-4-turbo,2025-03-06 10:53:23,{'raw': 'Join face office.'},{'entity': 'that'},2025-05-22 21:31:36
20,59,unsure,indirect,False,True,far,0.99,gpt-4-turbo,2025-01-01 07:15:02,{'raw': 'Their surface see kind it store.'},{'entity': 'social'},2025-02-05 02:24:12
20,60,unsure,indirect,False,False,usually,0.73,gpt-4-turbo,2025-04-18 09:29:40,{'raw': 'Race pay while.'},{'entity': 'medical'},2025-02-24 17:38:12
21,61,unbranded,verbal,True,False,up,0.64,gpt-4-turbo,2025-06-04 12:47:55,{'raw': 'Age read full yourself total general performance.'},{'entity': 'near'},2025-05-08 09:15:59
21,62,branded,indirect,False,True,stop,0.91,gpt-4-turbo,2025-04-16 00:47:07,{'raw': 'Set couple of fire.'},{'entity': 'foreign'},2025-04-12 11:17:29
21,63,unsure,verbal,True,True,hold,0.95,gpt-4-turbo,2025-05-01 09:37:16,{'raw': 'Free tough office event wonder.'},{'entity': 'stay'},2025-03-12 12:41:48
22,64,unsure,indirect,False,True,believe,0.86,gpt-4-turbo,2025-01-17 02:13:42,{'raw': 'Than everyone quite morning performance down reduce.'},{'entity': 'nation'},2025-01-14 20:00:56
22,65,unbranded,verbal,False,False,particularly,0.73,gpt-4-turbo,2025-05-27 00:39:27,{'raw': 'One left especially energy defense image figure.'},{'entity': 'page'},2025-01-20 14:28:37
23,67,unbranded,indirect,False,False,key,0.81,gpt-4-turbo,2025-02-03 18:02:31,{'raw': 'Station past take control second job.'},{'entity': 'matter'},2025-06-02 04:42:04
23,68,unbranded,verbal,False,False,boy,0.69,gpt-4-turbo,2025-04-02 12:03:33,{'raw': 'Sit home either everybody city message that.'},{'entity': 'good'},2025-03-23 21:52:29
24,70,unbranded,indirect,False,False,similar,0.79,gpt-4-turbo,2025-04-15 21:55:17,{'raw': 'Owner rate put situation board international fund.'},{'entity': 'them'},2025-02-04 21:59:37
24,72,unbranded,indirect,False,False,environment,0.6,gpt-4-turbo,2025-02-19 22:31:35,{'raw': 'Commercial room song leave represent national.'},{'entity': 'culture'},2025-05-29 22:56:27
25,73,branded,indirect,False,False,practice,0.73,gpt-4-turbo,2025-01-06 22:34:41,{'raw': 'See official difficult start impact design a.'},{'entity': 'various'},2025-05-08 08:11:28
25,74,unbranded,indirect,True,False,film,0.63,gpt-4-turbo,2025-03-11 23:14:09,{'raw': 'Financial about onto half significant produce blood.'},{'entity': 'black'},2025-01-14 01:05:35
25,75,branded,verbal,True,True,per,0.85,gpt-4-turbo,2025-02-08 07:10:22,{'raw': 'Why culture wish bit.'},{'entity': 'if'},2025-01-14 09:18:39
26,76,unbranded,verbal,True,False,difficult,0.98,gpt-4-turbo,2025-01-10 04:55:47,{'raw': 'Apply blue environmental image.'},{'entity': 'still'},2025-06-09 18:23:48
26,77,branded,pointing,True,True,senior,0.76,gpt-4-turbo,2025-04-25 07:23:31,{'raw': 'Suggest enough many each unit coach vote.'},{'entity': 'true'},2025-04-28 21:12:27
27,79,branded,pointing,False,False,skin,0.69,gpt-4-turbo,2025-02-20 23:07:26,{'raw': 'Authority kitchen value.'},{'entity': 'main'},2025-01-19 13:03:22
27,81,unbranded,pointing,True,False,plan,0.61,gpt-4-turbo,2025-04-28 05:08:44,{'raw': 'Authority energy benefit tend oil woman enter pattern.'},{'entity': 'political'},2025-03-15 15:13:00
28,84,unbranded,indirect,True,True,level,0.64,gpt-4-turbo,2025-04-13 16:25:43,{'raw': 'Each road fight sister attack.'},{'entity': 'information'},2025-02-13 04:20:42
29,85,unsure,indirect,False,False,authority,0.87,gpt-4-turbo,2025-04-08 05:02:23,{'raw': 'Decide believe threat animal per.'},{'entity': 'part'},2025-04-11 06:52:59
29,86,branded,verbal,False,True,international,0.97,gpt-4-turbo,2025-06-20 07:39:01,{'raw': 'Magazine hotel here newspaper medical.'},{'entity': 'really'},2025-02-10 02:12:09
29,87,unsure,verbal,True,True,site,0.65,gpt-4-turbo,2025-04-29 08:47:44,{'raw': 'Member seven let discussion.'},{'entity': 'term'},2025-06-02 21:25:11
30,88,branded,verbal,False,False,then,0.85,gpt-4-turbo,2025-02-13 13:47:21,{'raw': 'Couple both town improve group arrive.'},{'entity': 'none'},2025-03-21 22:27:26
30,90,unsure,pointing,True,True,cold,0.81,gpt-4-turbo,2025-05-07 13:26:18,{'raw': 'Thus level concern house who create travel prevent.'},{'entity': 'smile'},2025-06-09 06:26:52
31,91,unbranded,indirect,True,False,month,0.63,gpt-4-turbo,2025-02-25 10:15:24,{'raw': 'Me baby employee Democrat.'},{'entity': 'always'},2025-02-02 07:33:00
31,93,unbranded,indirect,False,True,education,0.65,gpt-4-turbo,2025-03-03 07:26:20,{'raw': 'Glass check see fish bring lose speech.'},{'entity': 'deal'},2025-06-08 02:19:11
32,94,branded,pointing,False,True,reveal,0.95,gpt-4-turbo,2025-05-14 02:51:03,{'raw': 'Author either stuff year follow action.'},{'entity': 'real'},2025-05-29 20:04:48
32,95,branded,verbal,False,False,specific,0.83,gpt-4-turbo,2025-05-03 20:11:02,{'raw': 'Friend hundred born degree drive.'},{'entity': 'bank'},2025-02-06 18:29:13
32,96,unbranded,verbal,False,True,arm,0.67,gpt-4-turbo,2025-06-07 05:15:58,{'raw': 'Type college civil bit foot require make.'},{'entity': 'different'},2025-05-12 14:16:54
34,100,branded,indirect,True,False,minute,0.93,gpt-4-turbo,2025-02-13 19:07:27,{'raw': 'Item act past.'},{'entity': 'along'},2025-02-26 13:18:35
34,101,unsure,pointing,False,False,according,0.93,gpt-4-turbo,2025-01-13 11:17:42,{'raw': 'Recent community do lay then candidate head.'},{'entity': 'food'},2025-02-05 19:31:43
34,102,unsure,verbal,True,False,hold,0.67,gpt-4-turbo,2025-02-08 08:01:12,{'raw': 'Minute organization fast identify rather work per.'},{'entity': 'sure'},2025-02-15 21:02:52
35,105,unbranded,indirect,False,False,suddenly,0.7,gpt-4-turbo,2025-01-08 11:29:38,{'raw': 'Service material night.'},{'entity': 'why'},2025-03-02 22:32:40
36,106,unbranded,pointing,False,True,fear,0.73,gpt-4-turbo,2025-01-01 11:36:16,{'raw': 'Grow ball involve.'},{'entity': 'understand'},2025-06-13 06:52:37
36,107,unsure,pointing,False,True,science,0.81,gpt-4-turbo,2025-04-10 22:56:46,{'raw': 'Modern according just key concern role then.'},{'entity': 'him'},2025-01-05 15:27:49
36,108,unsure,indirect,False,False,light,0.86,gpt-4-turbo,2025-01-04 09:20:08,{'raw': 'Spend beautiful argue better my himself per section.'},{'entity': 'report'},2025-01-28 21:11:50
37,110,unbranded,indirect,False,False,Mrs,0.88,gpt-4-turbo,2025-02-26 18:45:25,{'raw': 'Fly soon next.'},{'entity': 'drug'},2025-03-28 07:18:14
38,114,branded,indirect,True,True,be,0.87,gpt-4-turbo,2025-04-28 12:44:32,{'raw': 'Continue training happen stage measure six.'},{'entity': 'mean'},2025-02-10 07:19:59
39,115,branded,pointing,False,False,hear,0.84,gpt-4-turbo,2025-02-20 09:13:05,{'raw': 'Include knowledge rather professor.'},{'entity': 'too'},2025-06-04 07:59:21
39,116,unsure,verbal,True,True,night,0.84,gpt-4-turbo,2025-01-01 18:35:12,{'raw': 'Environmental speech yourself build employee strategy material.'},{'entity': 'opportunity'},2025-01-26 15:29:25
39,117,branded,indirect,False,False,nation,0.62,gpt-4-turbo,2025-01-05 22:48:30,{'raw': 'Must particularly heart eight receive.'},{'entity': 'east'},2025-06-12 15:22:31
40,120,unbranded,pointing,True,False,better,0.99,gpt-4-turbo,2025-04-02 05:14:39,{'raw': 'Season responsibility break yes into member admit glass.'},{'entity': 'result'},2025-03-11 20:51:47
41,122,branded,verbal,False,False,mean,0.71,gpt-4-turbo,2025-06-02 15:19:02,{'raw': 'Heart total focus role view later so.'},{'entity': 'paper'},2025-01-31 09:06:34
43,128,branded,pointing,False,True,whatever,0.67,gpt-4-turbo,2025-01-23 17:48:09,{'raw': 'Discussion order push draw her region life.'},{'entity': 'south'},2025-03-13 20:45:17
43,129,branded,verbal,False,False,answer,0.66,gpt-4-turbo,2025-04-22 09:55:29,{'raw': 'Section play we scientist across build speak.'},{'entity': 'discussion'},2025-01-15 14:24:44
44,130,unbranded,verbal,True,True,from,0.97,gpt-4-turbo,2025-02-25 11:03:23,{'raw': 'Environment purpose artist party bad baby.'},{'entity': 'now'},2025-06-13 13:08:29
45,133,branded,verbal,False,True,seem,0.65,gpt-4-turbo,2025-05-08 11:04:20,{'raw': 'Important performance its decade very knowledge.'},{'entity': 'subject'},2025-06-11 10:25:47
45,134,branded,pointing,False,False,article,0.88,gpt-4-turbo,2025-05-22 21:40:52,{'raw': 'Few Mr wear design.'},{'entity': 'technology'},2025-01-17 02:38:41
45,135,unsure,verbal,False,False,raise,0.96,gpt-4-turbo,2025-04-30 07:24:35,{'raw': 'Science cover specific control apply air.'},{'entity': 'her'},2025-05-15 23:50:04
46,137,unbranded,verbal,False,True,lead,0.87,gpt-4-turbo,2025-03-07 07:45:50,{'raw': 'Above sense available answer.'},{'entity': 'realize'},2025-03-02 00:17:56
47,140,unsure,indirect,False,False,role,0.95,gpt-4-turbo,2025-05-15 11:22:45,{'raw': 'Within month accept world fact fine that.'},{'entity': 'issue'},2025-03-22 09:28:45
47,141,unsure,pointing,True,True,from,0.65,gpt-4-turbo,2025-06-16 14:46:45,{'raw': 'Home cost view table piece.'},{'entity': 'owner'},2025-03-21 07:27:37
48,142,unsure,indirect,True,True,rule,0.9,gpt-4-turbo,2025-06-17 16:02:41,{'raw': 'Challenge offer new we white others.'},{'entity': 'floor'},2025-03-03 19:04:46
48,143,branded,indirect,True,True,inside,0.94,gpt-4-turbo,2025-03-16 14:42:36,{'raw': 'Out court short entire care.'},{'entity': 'push'},2025-04-03 01:27:19
48,144,unsure,verbal,True,False,skill,0.94,gpt-4-turbo,2025-01-27 09:43:55,{'raw': 'Develop institution spend thus very design.'},{'entity': 'human'},2025-06-19 03:16:31
49,145,unsure,verbal,False,True,television,0.83,gpt-4-turbo,2025-05-19 13:17:58,{'raw': 'Walk middle actually performance full.'},{'entity': 'room'},2025-02-03 20:25:23
49,146,unbranded,indirect,True,True,reach,0.78,gpt-4-turbo,2025-06-16 01:46:35,{'raw': 'Speech group save particular.'},{'entity': 'prove'},2025-05-06 04:02:56
49,147,branded,indirect,False,False,different,0.62,gpt-4-turbo,2025-04-11 12:52:51,{'raw': 'In financial hard what treat million alone.'},{'entity': 'miss'},2025-03-08 04:12:34
50,148,unbranded,verbal,True,True,hard,0.95,gpt-4-turbo,2025-01-25 14:24:40,{'raw': 'Ahead should at decide over second.'},{'entity': 'identify'},2025-05-08 10:04:20
50,149,unbranded,indirect,True,False,way,0.99,gpt-4-turbo,2025-04-26 15:10:14,{'raw': 'Ready send modern stock perform and because.'},{'entity': 'effort'},2025-06-08 00:24:07
50,150,unbranded,pointing,True,True,full,0.61,gpt-4-turbo,2025-03-03 17:58:26,{'raw': 'Statement police minute radio.'},{'entity': 'establish'},2025-02-17 20:15:16
51,152,branded,indirect,True,False,house,0.69,gpt-4-turbo,2025-01-27 13:45:00,{'raw': 'Describe health true include skin.'},{'entity': 'institution'},2025-02-06 21:51:32
52,154,branded,verbal,False,True,move,0.94,gpt-4-turbo,2025-04-12 03:45:37,{'raw': 'History too sport analysis research.'},{'entity': 'south'},2025-04-21 13:03:37
52,155,unbranded,pointing,True,False,share,0.87,gpt-4-turbo,2025-06-09 23:39:25,{'raw': 'Move fear ground inside member.'},{'entity': 'light'},2025-06-08 03:27:18
53,157,unsure,verbal,False,False,official,0.86,gpt-4-turbo,2025-01-24 03:53:04,{'raw': 'No church build southern somebody threat third.'},{'entity': 'represent'},2025-02-28 04:54:33
53,159,branded,indirect,False,False,two,0.91,gpt-4-turbo,2025-04-20 10:23:08,{'raw': 'Tonight scene fish our example.'},{'entity': 'increase'},2025-05-08 03:15:43
54,161,unsure,verbal,False,True,the,0.72,gpt-4-turbo,2025-04-13 15:42:28,{'raw': 'Before claim listen treat wear collection play court.'},{'entity': 'form'},2025-01-16 12:01:10
54,162,unsure,pointing,False,True,point,0.6,gpt-4-turbo,2025-04-25 22:06:49,{'raw': 'Enjoy raise place and.'},{'entity': 'Mr'},2025-01-03 22:44:28
56,167,unsure,indirect,True,True,day,0.81,gpt-4-turbo,2025-03-26 09:49:05,{'raw': 'Story item figure stay fill direction nor sing.'},{'entity': 'thus'},2025-03-13 14:36:36
57,169,unbranded,verbal,False,False,kitchen,0.81,gpt-4-turbo,2025-01-26 11:28:53,{'raw': 'Attention research available magazine federal single general.'},{'entity': 'radio'},2025-04-22 01:02:42
57,170,branded,verbal,True,False,student,0.87,gpt-4-turbo,2025-03-09 08:02:01,{'raw': 'Room main mission fund information argue type.'},{'entity': 'commercial'},2025-02-24 15:35:31
58,172,unsure,pointing,False,True,I,0.87,gpt-4-turbo,2025-03-13 02:44:56,{'raw': 'Himself why theory.'},{'entity': 'woman'},2025-01-29 03:01:50
58,173,unsure,verbal,False,True,little,0.97,gpt-4-turbo,2025-02-01 08:56:04,{'raw': 'Film perform bring kid art.'},{'entity': 'father'},2025-04-13 15:45:09
58,174,unbranded,verbal,False,True,example,0.63,gpt-4-turbo,2025-01-23 09:24:52,{'raw': 'Subject hair state see common shoulder.'},{'entity': 'none'},2025-03-31 03:00:11
61,183,unsure,indirect,False,False,direction,0.85,gpt-4-turbo,2025-01-16 16:01:08,{'raw': 'Agency itself bill even.'},{'entity': 'state'},2025-06-12 06:56:19
62,185,branded,verbal,False,False,lot,0.84,gpt-4-turbo,2025-01-18 15:38:09,{'raw': 'Television increase would.'},{'entity': 'challenge'},2025-06-09 03:00:11
62,186,unbranded,pointing,False,True,just,0.79,gpt-4-turbo,2025-06-14 03:53:25,{'raw': 'Player front economy indicate school hear.'},{'entity': 'model'},2025-03-04 11:46:45
63,188,branded,verbal,False,True,ask,0.93,gpt-4-turbo,2025-03-10 17:21:10,{'raw': 'Least price senior organization suffer anyone.'},{'entity': 'less'},2025-05-10 09:06:46
64,192,unbranded,verbal,True,True,pass,0.64,gpt-4-turbo,2025-01-14 16:06:14,{'raw': 'Best exactly language.'},{'entity': 'party'},2025-03-07 18:15:29
65,193,branded,verbal,False,True,notice,0.84,gpt-4-turbo,2025-04-26 13:16:09,{'raw': 'Management season property.'},{'entity': 'part'},2025-01-11 22:53:17
67,199,unsure,indirect,False,True,common,0.8,gpt-4-turbo,2025-01-24 05:36:58,{'raw': 'Goal east set building realize baby what huge.'},{'entity': 'class'},2025-04-16 05:13:17
67,200,unbranded,verbal,False,True,car,0.97,gpt-4-turbo,2025-05-26 18:13:48,{'raw': 'Wrong possible author area cut father start.'},{'entity': 'able'},2025-05-14 09:37:28
67,201,unbranded,pointing,False,True,add,0.66,gpt-4-turbo,2025-06-03 09:56:05,{'raw': 'Work simply head.'},{'entity': 'ahead'},2025-04-06 06:37:45
68,203,unbranded,pointing,True,False,break,0.94,gpt-4-turbo,2025-01-29 12:42:24,{'raw': 'Actually wind wrong.'},{'entity': 'down'},2025-05-03 12:43:16
68,204,branded,verbal,True,True,official,0.78,gpt-4-turbo,2025-03-02 18:15:11,{'raw': 'Form traditional listen market arm commercial audience.'},{'entity': 'style'},2025-01-10 12:28:03
69,205,unsure,verbal,True,True,interesting,0.86,gpt-4-turbo,2025-03-02 07:59:08,{'raw': 'Agency line hot tree pull town seem.'},{'entity': 'way'},2025-05-21 17:26:05
69,207,unsure,verbal,False,False,increase,0.65,gpt-4-turbo,2025-05-09 17:06:15,{'raw': 'Strategy record purpose individual baby.'},{'entity': 'half'},2025-03-25 20:15:20
70,208,unbranded,indirect,True,False,issue,0.71,gpt-4-turbo,2025-04-07 05:35:16,{'raw': 'Party ever amount week.'},{'entity': 'build'},2025-06-01 08:08:14
70,209,unbranded,pointing,True,False,point,0.6,gpt-4-turbo,2025-03-23 16:54:46,{'raw': 'Industry whom environmental civil.'},{'entity': 'piece'},2025-03-06 09:22:23
70,210,unsure,indirect,False,True,ask,0.98,gpt-4-turbo,2025-01-07 22:43:27,{'raw': 'International treat per movie treat need.'},{'entity': 'painting'},2025-02-13 17:12:14
71,212,branded,verbal,True,False,international,0.75,gpt-4-turbo,2025-04-25 08:42:17,{'raw': 'Feeling paper sport speech not range increase hour.'},{'entity': 'serve'},2025-06-16 05:05:44
72,215,unsure,indirect,True,True,experience,0.63,gpt-4-turbo,2025-04-02 19:41:24,{'raw': 'Speech toward political great final interview reach.'},{'entity': 'guy'},2025-02-14 15:31:04
72,216,unbranded,verbal,False,False,one,0.91,gpt-4-turbo,2025-01-09 19:48:27,{'raw': 'Home quite else probably respond.'},{'entity': 'TV'},2025-01-22 12:57:06
73,217,branded,indirect,True,False,top,0.7,gpt-4-turbo,2025-01-20 09:23:05,{'raw': 'Senior front ever she teach executive cost child.'},{'entity': 'peace'},2025-01-16 01:43:35
73,218,unsure,indirect,True,False,huge,0.93,gpt-4-turbo,2025-02-05 21:04:53,{'raw': 'Again share rich look arrive human crime.'},{'entity': 'training'},2025-04-26 01:27:51
73,219,branded,verbal,True,False,several,0.87,gpt-4-turbo,2025-01-13 05:58:22,{'raw': 'Wear time receive hospital individual former participant.'},{'entity': 'board'},2025-03-29 06:56:04
74,220,unsure,indirect,False,True,picture,0.85,gpt-4-turbo,2025-03-18 21:26:22,{'raw': 'Nice word right they bank.'},{'entity': 'maintain'},2025-02-09 07:35:33
74,222,unbranded,pointing,True,False,around,0.62,gpt-4-turbo,2025-04-03 08:01:57,{'raw': 'Student newspaper sort ability program.'},{'entity': 'anyone'},2025-04-10 10:17:22
75,224,unsure,pointing,False,True,sister,0.95,gpt-4-turbo,2025-02-22 01:08:09,{'raw': 'Economy war market why black catch.'},{'entity': 'control'},2025-04-06 20:05:46
76,226,branded,verbal,False,True,manager,0.7,gpt-4-turbo,2025-03-03 14:25:39,{'raw': 'Policy read pick contain guy.'},{'entity': 'soon'},2025-05-12 10:15:26
76,227,unsure,pointing,False,True,wife,0.74,gpt-4-turbo,2025-01-20 14:57:03,{'raw': 'Military suddenly value current southern institution develop across.'},{'entity': 'it'},2025-03-07 20:09:02
76,228,branded,pointing,False,True,your,0.94,gpt-4-turbo,2025-03-13 04:19:50,{'raw': 'All clear control base environment ahead.'},{'entity': 'our'},2025-01-31 02:45:50
77,230,branded,pointing,False,True,the,0.8,gpt-4-turbo,2025-06-13 10:08:57,{'raw': 'Window owner heavy these.'},{'entity': 'offer'},2025-01-29 12:51:59
77,231,unsure,indirect,False,False,sound,0.78,gpt-4-turbo,2025-01-26 12:25:33,{'raw': 'Audience modern participant necessary.'},{'entity': 'idea'},2025-06-05 20:15:59
78,234,branded,pointing,True,True,less,0.97,gpt-4-turbo,2025-03-07 16:47:17,{'raw': 'According guess hair culture force wife black.'},{'entity': 'big'},2025-05-14 16:37:04
79,235,unbranded,verbal,True,True,building,0.77,gpt-4-turbo,2025-03-14 06:10:46,{'raw': 'Expert south believe court seven.'},{'entity': 'significant'},2025-05-18 03:02:46
79,236,unsure,verbal,False,False,six,0.64,gpt-4-turbo,2025-06-08 12:56:29,{'raw': 'Same clear allow nation have window.'},{'entity': 'sit'},2025-03-05 01:07:49
79,237,unbranded,verbal,False,True,final,0.99,gpt-4-turbo,2025-03-19 04:41:08,{'raw': 'Fear someone company final people arm kitchen.'},{'entity': 'piece'},2025-05-11 10:22:55
81,242,unbranded,pointing,False,False,use,0.66,gpt-4-turbo,2025-02-14 23:55:32,{'raw': 'Agent shake smile western final but.'},{'entity': 'north'},2025-03-01 22:10:33
81,243,unsure,indirect,False,False,let,0.75,gpt-4-turbo,2025-01-28 21:29:17,{'raw': 'National remain car safe painting.'},{'entity': 'behind'},2025-01-30 06:28:58
82,244,unsure,indirect,False,True,structure,0.77,gpt-4-turbo,2025-01-31 05:27:34,{'raw': 'Scene process world or strong inside stuff.'},{'entity': 'high'},2025-05-03 16:53:32
82,246,unbranded,indirect,True,False,Congress,0.69,gpt-4-turbo,2025-05-04 19:58:32,{'raw': 'People century idea.'},{'entity': 'book'},2025-03-15 05:39:26
84,250,unsure,pointing,True,False,reveal,0.92,gpt-4-turbo,2025-06-12 02:30:10,{'raw': 'Entire way mouth help less.'},{'entity': 'consider'},2025-03-29 09:18:28
84,251,branded,verbal,True,False,seven,0.61,gpt-4-turbo,2025-02-12 01:04:19,{'raw': 'Field understand whatever final food together receive good.'},{'entity': 'prepare'},2025-05-10 11:13:39
84,252,unbranded,verbal,False,True,move,0.78,gpt-4-turbo,2025-06-02 12:57:26,{'raw': 'Smile president process beautiful.'},{'entity': 'enough'},2025-02-19 07:17:43
85,253,unbranded,indirect,True,False,save,0.99,gpt-4-turbo,2025-03-03 16:36:58,{'raw': 'Account travel produce experience southern discuss.'},{'entity': 'federal'},2025-04-06 21:29:09
86,256,branded,indirect,False,False,enjoy,0.99,gpt-4-turbo,2025-02-13 03:30:20,{'raw': 'Thing sea necessary idea pull game service where.'},{'entity': 'bill'},2025-01-30 02:30:52
86,257,unbranded,pointing,False,True,morning,0.79,gpt-4-turbo,2025-06-15 19:27:57,{'raw': 'Medical involve that feeling doctor bit.'},{'entity': 'tree'},2025-05-11 19:33:15
